Closing_Period,Chart_of_Accounts,Actual,Budget
20230731,140-60030,-28464.33,-25200
20230731,140-60040,-19094.98,-18900
20230731,140-60050,-15047.52,-15750
20230731,140-70010,-13910.91,-13300
20230731,140-70020,-11612.4,-9975
20230731,140-70030,-14005.69,-11970
20230731,140-70040,-16033.09,-14630
20230731,140-70050,-22965.1,-19950
20230731,140-70060,-31801.45,-33250
20230731,140-70070,-5820.56,-5320
20230731,140-70080,-8303.41,-7980
20230731,140-70090,-6316.48,-5985
20230731,140-70100,-5243.73,-4987.5
20230731,140-80010,-10980.98,-10500
20230731,140-80020,-12485.39,-14000
20230731,140-80030,-6789.34,-7000
20230731,140-80040,5353.62,5250
20230731,140-80050,3552.39,3500
20230731,140-90010,-22864.07,-28000
20230731,140-90020,-6667.03,-7000
20230731,140-90030,-3643.77,-3500
20230731,141-50010,334016.73,332500
20230731,141-50020,192496.36,266000
20230731,141-50030,185619.84,199500
20230731,141-50040,273415.97,166250
20230731,141-50050,164865.84,133000
20230731,141-50060,88761.91,99750
20230731,141-50070,115377.5,119700
20230731,141-50080,81408.51,79800
20230731,141-60010,-55435.52,-50400
20230731,141-60020,-46995.17,-37800
20230731,141-60030,-29881.7,-25200
20230731,141-60040,-21758.51,-18900
20230731,141-60050,-15988.87,-15750
20230731,141-70010,-14182.75,-13300
20230731,141-70020,-10761.98,-9975
20230731,141-70030,-13037.84,-11970
20230731,141-70040,-14519.01,-14630
20230731,141-70050,-21628.27,-19950
20230731,141-70060,-35285.2,-33250
20230731,141-70070,-5805,-5320
20230731,141-70080,-7727.39,-7980
20230731,141-70090,-6397.21,-5985
20230731,141-70100,-5375.75,-4987.5
20230731,141-80010,-11023.96,-10500
20230731,141-80020,-14589.01,-14000
20230731,141-80030,-7340.61,-7000
20230731,141-80040,4814.15,5250
20230731,141-80050,3710.2,3500
20230731,141-90010,-28243.9,-28000
20230731,141-90020,-5366.14,-7000
20230731,141-90030,-3601.4,-3500
20230731,142-50010,371811.76,332500
20230731,142-50020,280290.86,266000
20230731,142-50030,227827.76,199500
20230731,142-50040,156992.98,166250
20230731,142-50050,115238.36,133000
20230731,142-50060,88594.2,99750
20230731,142-50070,111098.7,119700
20230731,142-50080,94583.19,79800
20230731,142-60010,-58587.63,-50400
20230731,142-60020,-34639.18,-37800
20230731,142-60030,-27888.86,-25200
20230731,142-60040,-17749.18,-18900
20230731,142-60050,-17117.1,-15750
20230731,142-70010,-13403.7,-13300
20230731,142-70020,-10102.17,-9975
20230731,142-70030,-11896.23,-11970
20230731,142-70040,-15991.9,-14630
20230731,142-70050,-23486.89,-19950
20230731,142-70060,-37295.7,-33250
20230731,142-70070,-5297.37,-5320
20230731,142-70080,-7961.33,-7980
20230731,142-70090,-5651.48,-5985
20230731,142-70100,-5005.76,-4987.5
20230731,142-80010,-10683.05,-10500
20230731,142-80020,-14887.61,-14000
20230731,142-80030,-6560.19,-7000
20230731,142-80040,5010.08,5250
20230731,142-80050,3269.77,3500
20230731,142-90010,-26243.16,-28000
20230731,142-90020,-6906.44,-7000
20230731,142-90030,-3827.43,-3500
20230831,101-50010,371016.15,415625
20230831,101-50020,403355.79,332500
20230831,101-50030,309936.28,249375
20230831,101-50040,203929.72,207812.5
20230831,101-50050,172680.98,166250
20230831,101-50060,137390.3,124687.5
20230831,101-50070,163012.3,149625
20230831,101-50080,93127.01,99750
20230831,101-60010,-74530.06,-63000
20230831,101-60020,-51786.24,-47250
20230831,101-60030,-36015.43,-31500
20230831,101-60040,-27320.31,-23625
20230831,101-60050,-21806.94,-19687.5
20230831,101-70010,-18248.53,-16625
20230831,101-70020,-12236,-12468.75
20230831,101-70030,-14712.07,-14962.5
20230831,101-70040,-18224.24,-18287.5
20230831,101-70050,-27722.1,-24937.5
20230831,101-70060,-42267.38,-41562.5
20230831,101-70070,-6730.17,-6650
20230831,101-70080,-10265.92,-9975
20230831,101-70090,-7938.17,-7481.25
20230831,101-70100,-7263.02,-6234.38
20230831,101-80010,-12388.6,-13125
20230831,101-80020,-17334.39,-17500
20230831,101-80030,-8300.33,-8750
20230831,101-80040,5718.04,6562.5
20230831,101-80050,4541.22,4375
20230831,101-90010,-33671.27,-35000
20230831,101-90020,-7977.73,-8750
20230831,101-90030,-4297.32,-4375
20230831,102-50010,349412.09,415625
20230831,102-50020,364077.17,332500
20230831,102-50030,240542.03,249375
20230831,102-50040,252096.01,207812.5
20230831,102-50050,196107.51,166250
20230831,102-50060,129710.16,124687.5
20230831,102-50070,163310.97,149625
20230831,102-50080,93497.33,99750
20230831,102-60010,-72901.34,-63000
20230831,102-60020,-53076.22,-47250
20230831,102-60030,-33368.06,-31500
20230831,102-60040,-27397.02,-23625
20230831,102-60050,-24368.27,-19687.5
20230831,102-70010,-15315.03,-16625
20230831,102-70020,-13529.1,-12468.75
20230831,102-70030,-16377.1,-14962.5
20230831,102-70040,-18801.07,-18287.5
20230831,102-70050,-21918.7,-24937.5
20230831,102-70060,-42666.97,-41562.5
20230831,102-70070,-7129.49,-6650
20230831,102-70080,-10495.06,-9975
20230831,102-70090,-7962.29,-7481.25
20230831,102-70100,-6631.78,-6234.38
20230831,102-80010,-12330.51,-13125
20230831,102-80020,-16448.09,-17500
20230831,102-80030,-9709.83,-8750
20230831,102-80040,6834.42,6562.5
20230831,102-80050,4021.94,4375
20230831,102-90010,-39098.44,-35000
20230831,102-90020,-7950.86,-8750
20230831,102-90030,-3687.36,-4375
20230831,103-50010,438386.16,415625
20230831,103-50020,424720.4,332500
20230831,103-50030,291141.22,249375
20230831,103-50040,261156.05,207812.5
20230831,103-50050,150323.71,166250
20230831,103-50060,151244.19,124687.5
20230831,103-50070,174450.02,149625
20230831,103-50080,96436.06,99750
20230831,103-60010,-70872.39,-63000
20230831,103-60020,-60078.21,-47250
20230831,103-60030,-29145.84,-31500
20230831,103-60040,-29373.21,-23625
20230831,103-60050,-21892.63,-19687.5
20230831,103-70010,-16755.64,-16625
20230831,103-70020,-14293.78,-12468.75
20230831,103-70030,-15082.5,-14962.5
20230831,103-70040,-20488.44,-18287.5
20230831,103-70050,-25469.32,-24937.5
20230831,103-70060,-42837.09,-41562.5
20230831,103-70070,-6333.33,-6650
20230831,103-70080,-10524.51,-9975
20230831,103-70090,-7945.61,-7481.25
20230831,103-70100,-6418.58,-6234.38
20230831,103-80010,-14068.75,-13125
20230831,103-80020,-17604.75,-17500
20230831,103-80030,-10435.88,-8750
20230831,103-80040,6233.37,6562.5
20230831,103-80050,4804.24,4375
20230831,103-90010,-38247.18,-35000
20230831,103-90020,-8825.95,-8750
20230831,103-90030,-3789.51,-4375
20230831,104-50010,392687.49,415625
20230831,104-50020,341714.77,332500
20230831,104-50030,262263.63,249375
20230831,104-50040,212408.78,207812.5
20230831,104-50050,166554.65,166250
20230831,104-50060,116929.55,124687.5
20230831,104-50070,151173.34,149625
20230831,104-50080,91361.49,99750
20230831,104-60010,-74363.31,-63000
20230831,104-60020,-41912.13,-47250
20230831,104-60030,-40778.34,-31500
20230831,104-60040,-32291.51,-23625
20230831,104-60050,-20881.83,-19687.5
20230831,104-70010,-17678.5,-16625
20230831,104-70020,-13435.33,-12468.75
20230831,104-70030,-15270.65,-14962.5
20230831,104-70040,-20590.53,-18287.5
20230831,104-70050,-27435.82,-24937.5
20230831,104-70060,-45746.34,-41562.5
20230831,104-70070,-6521.38,-6650
20230831,104-70080,-9679.13,-9975
20230831,104-70090,-7560.44,-7481.25
20230831,104-70100,-7419.92,-6234.38
20230831,104-80010,-14179.54,-13125
20230831,104-80020,-17153.42,-17500
20230831,104-80030,-10024.06,-8750
20230831,104-80040,6783.87,6562.5
20230831,104-80050,4007.46,4375
20230831,104-90010,-36109.21,-35000
20230831,104-90020,-7700.28,-8750
20230831,104-90030,-4270.17,-4375
20230831,105-50010,368372.2,415625
20230831,105-50020,399131.66,332500
20230831,105-50030,305407.24,249375
20230831,105-50040,157961.54,207812.5
20230831,105-50050,194273.75,166250
20230831,105-50060,139014.18,124687.5
20230831,105-50070,153469.88,149625
20230831,105-50080,109120.82,99750
20230831,105-60010,-78966.29,-63000
20230831,105-60020,-58724.92,-47250
20230831,105-60030,-35450.66,-31500
20230831,105-60040,-26574.96,-23625
20230831,105-60050,-24002.37,-19687.5
20230831,105-70010,-17606.61,-16625
20230831,105-70020,-12477.41,-12468.75
20230831,105-70030,-15898.44,-14962.5
20230831,105-70040,-18891.09,-18287.5
20230831,105-70050,-24693.79,-24937.5
20230831,105-70060,-43308.33,-41562.5
20230831,105-70070,-6395.92,-6650
20230831,105-70080,-11154.47,-9975
20230831,105-70090,-7963.03,-7481.25
20230831,105-70100,-5936.74,-6234.38
20230831,105-80010,-12653.73,-13125
20230831,105-80020,-19349.7,-17500
20230831,105-80030,-8112.24,-8750
20230831,105-80040,6716.99,6562.5
20230831,105-80050,4150.77,4375
20230831,105-90010,-38159.07,-35000
20230831,105-90020,-9114.37,-8750
20230831,105-90030,-3972.43,-4375
20230831,106-50010,517407.58,415625
20230831,106-50020,382386.14,332500
20230831,106-50030,278014.62,249375
20230831,106-50040,179313.46,207812.5
20230831,106-50050,147709.37,166250
20230831,106-50060,137854.61,124687.5
20230831,106-50070,177908.9,149625
20230831,106-50080,92726.67,99750
20230831,106-60010,-60711.55,-63000
20230831,106-60020,-51885.16,-47250
20230831,106-60030,-37603.31,-31500
20230831,106-60040,-27104.86,-23625
20230831,106-60050,-23341.24,-19687.5
20230831,106-70010,-17700.32,-16625
20230831,106-70020,-12563.05,-12468.75
20230831,106-70030,-15570.14,-14962.5
20230831,106-70040,-20702.85,-18287.5
20230831,106-70050,-27522.15,-24937.5
20230831,106-70060,-45116.59,-41562.5
20230831,106-70070,-6453.56,-6650
20230831,106-70080,-10615.03,-9975
20230831,106-70090,-7787.83,-7481.25
20230831,106-70100,-6585.54,-6234.38
20230831,106-80010,-12726.43,-13125
20230831,106-80020,-15122.34,-17500
20230831,106-80030,-9370.25,-8750
20230831,106-80040,6379.09,6562.5
20230831,106-80050,4456.26,4375
20230831,106-90010,-35934.7,-35000
20230831,106-90020,-8527.03,-8750
20230831,106-90030,-4424.94,-4375
20230831,107-50010,493732.15,415625
20230831,107-50020,360845.31,332500
20230831,107-50030,244522.6,249375
20230831,107-50040,276557.06,207812.5
20230831,107-50050,174921.86,166250
20230831,107-50060,138490.76,124687.5
20230831,107-50070,168040.21,149625
20230831,107-50080,98658.63,99750
20230831,107-60010,-67774.97,-63000
20230831,107-60020,-59311.9,-47250
20230831,107-60030,-31567.25,-31500
20230831,107-60040,-24137.79,-23625
20230831,107-60050,-19454.49,-19687.5
20230831,107-70010,-18220.34,-16625
20230831,107-70020,-12546.61,-12468.75
20230831,107-70030,-15453.42,-14962.5
20230831,107-70040,-18249.31,-18287.5
20230831,107-70050,-24853.63,-24937.5
20230831,107-70060,-42929.38,-41562.5
20230831,107-70070,-6865.15,-6650
20230831,107-70080,-10056.63,-9975
20230831,107-70090,-7960.66,-7481.25
20230831,107-70100,-6056.81,-6234.38
20230831,107-80010,-13185.82,-13125
20230831,107-80020,-16815.69,-17500
20230831,107-80030,-8788.93,-8750
20230831,107-80040,7095.34,6562.5
20230831,107-80050,4460.93,4375
20230831,107-90010,-36972.25,-35000
20230831,107-90020,-9264.37,-8750
20230831,107-90030,-4064.08,-4375
20230831,108-50010,336723.95,415625
20230831,108-50020,378982.95,332500
20230831,108-50030,165792.66,249375
20230831,108-50040,194647.86,207812.5
20230831,108-50050,154180.47,166250
20230831,108-50060,155374.07,124687.5
20230831,108-50070,136031.31,149625
20230831,108-50080,96642.89,99750
20230831,108-60010,-80654.05,-63000
20230831,108-60020,-46471.84,-47250
20230831,108-60030,-40343.74,-31500
20230831,108-60040,-24109.93,-23625
20230831,108-60050,-21756.76,-19687.5
20230831,108-70010,-17895.29,-16625
20230831,108-70020,-13120.49,-12468.75
20230831,108-70030,-15562.51,-14962.5
20230831,108-70040,-19635.23,-18287.5
20230831,108-70050,-27365.76,-24937.5
20230831,108-70060,-42774.86,-41562.5
20230831,108-70070,-6776.87,-6650
20230831,108-70080,-9692.72,-9975
20230831,108-70090,-7292.97,-7481.25
20230831,108-70100,-6336.55,-6234.38
20230831,108-80010,-13035.56,-13125
20230831,108-80020,-19417.89,-17500
20230831,108-80030,-9475.03,-8750
20230831,108-80040,7048.76,6562.5
20230831,108-80050,4240.92,4375
20230831,108-90010,-31016.42,-35000
20230831,108-90020,-7609.98,-8750
20230831,108-90030,-4346.64,-4375
20230831,109-50010,483977.19,415625
20230831,109-50020,317103.06,332500
20230831,109-50030,266276.43,249375
20230831,109-50040,190364.26,207812.5
20230831,109-50050,153603.49,166250
20230831,109-50060,100540.55,124687.5
20230831,109-50070,171443.89,149625
20230831,109-50080,103661.18,99750
20230831,109-60010,-71939.3,-63000
20230831,109-60020,-48949.34,-47250
20230831,109-60030,-37509.77,-31500
20230831,109-60040,-29035.5,-23625
20230831,109-60050,-21347.85,-19687.5
20230831,109-70010,-16796.29,-16625
20230831,109-70020,-12936.41,-12468.75
20230831,109-70030,-15452.52,-14962.5
20230831,109-70040,-18638.59,-18287.5
20230831,109-70050,-28703.21,-24937.5
20230831,109-70060,-41814.61,-41562.5
20230831,109-70070,-6529.76,-6650
20230831,109-70080,-10819.05,-9975
20230831,109-70090,-7286.69,-7481.25
20230831,109-70100,-6393.97,-6234.38
20230831,109-80010,-12334.35,-13125
20230831,109-80020,-16061.18,-17500
20230831,109-80030,-7611.12,-8750
20230831,109-80040,6409.1,6562.5
20230831,109-80050,3752.49,4375
20230831,109-90010,-34708.12,-35000
20230831,109-90020,-8598.79,-8750
20230831,109-90030,-4328.26,-4375
20230831,110-50010,568814.35,415625
20230831,110-50020,292531.8,332500
20230831,110-50030,286731.66,249375
20230831,110-50040,230275.21,207812.5
20230831,110-50050,193905.11,166250
20230831,110-50060,147818.78,124687.5
20230831,110-50070,166442.98,149625
20230831,110-50080,103949.07,99750
20230831,110-60010,-67074.49,-63000
20230831,110-60020,-52429.61,-47250
20230831,110-60030,-36171.79,-31500
20230831,110-60040,-27465.24,-23625
20230831,110-60050,-25901.96,-19687.5
20230831,110-70010,-16383.29,-16625
20230831,110-70020,-12321.77,-12468.75
20230831,110-70030,-16423.19,-14962.5
20230831,110-70040,-19979.47,-18287.5
20230831,110-70050,-26661.64,-24937.5
20230831,110-70060,-45045.3,-41562.5
20230831,110-70070,-6638.02,-6650
20230831,110-70080,-10374.48,-9975
20230831,110-70090,-7612.61,-7481.25
20230831,110-70100,-6633.24,-6234.38
20230831,110-80010,-13185.87,-13125
20230831,110-80020,-18868.35,-17500
20230831,110-80030,-8317.93,-8750
20230831,110-80040,6012.93,6562.5
20230831,110-80050,3940.96,4375
20230831,110-90010,-35270.42,-35000
20230831,110-90020,-9503.85,-8750
20230831,110-90030,-4110.24,-4375
20230831,111-50010,427769.62,415625
20230831,111-50020,333547.84,332500
20230831,111-50030,299554.68,249375
20230831,111-50040,266377.21,207812.5
20230831,111-50050,123185.01,166250
20230831,111-50060,112468.03,124687.5
20230831,111-50070,179860.44,149625
20230831,111-50080,92219.95,99750
20230831,111-60010,-64028.9,-63000
20230831,111-60020,-53916.97,-47250
20230831,111-60030,-36871.6,-31500
20230831,111-60040,-25255.82,-23625
20230831,111-60050,-22382.68,-19687.5
20230831,111-70010,-17074.16,-16625
20230831,111-70020,-13607,-12468.75
20230831,111-70030,-14352.45,-14962.5
20230831,111-70040,-18608.39,-18287.5
20230831,111-70050,-25613.25,-24937.5
20230831,111-70060,-46569.15,-41562.5
20230831,111-70070,-7096.9,-6650
20230831,111-70080,-11482.97,-9975
20230831,111-70090,-8225.16,-7481.25
20230831,111-70100,-6728.95,-6234.38
20230831,111-80010,-13380.77,-13125
20230831,111-80020,-18774.12,-17500
20230831,111-80030,-8958.17,-8750
20230831,111-80040,5954.01,6562.5
20230831,111-80050,4718.12,4375
20230831,111-90010,-30967.18,-35000
20230831,111-90020,-9065.91,-8750
20230831,111-90030,-4644.11,-4375
20230831,112-50010,377160.81,415625
20230831,112-50020,365133.89,332500
20230831,112-50030,251581.57,249375
20230831,112-50040,230256.85,207812.5
20230831,112-50050,212925.22,166250
20230831,112-50060,128872.51,124687.5
20230831,112-50070,144788.8,149625
20230831,112-50080,112137.4,99750
20230831,112-60010,-63766.25,-63000
20230831,112-60020,-50185.18,-47250
20230831,112-60030,-40888.94,-31500
20230831,112-60040,-21838.99,-23625
20230831,112-60050,-19026.35,-19687.5
20230831,112-70010,-18480.72,-16625
20230831,112-70020,-13322.44,-12468.75
20230831,112-70030,-15436.69,-14962.5
20230831,112-70040,-20754.47,-18287.5
20230831,112-70050,-26718,-24937.5
20230831,112-70060,-45018.47,-41562.5
20230831,112-70070,-7106.34,-6650
20230831,112-70080,-10512.68,-9975
20230831,112-70090,-8078.23,-7481.25
20230831,112-70100,-6703.1,-6234.38
20230831,112-80010,-12329.55,-13125
20230831,112-80020,-20218.18,-17500
20230831,112-80030,-9793.55,-8750
20230831,112-80040,7315.64,6562.5
20230831,112-80050,4493.15,4375
20230831,112-90010,-36561.88,-35000
20230831,112-90020,-7757.09,-8750
20230831,112-90030,-3983.01,-4375
20230831,113-50010,498960.89,415625
20230831,113-50020,392749.72,332500
20230831,113-50030,231232.15,249375
20230831,113-50040,172586.78,207812.5
20230831,113-50050,151977.23,166250
20230831,113-50060,146856.93,124687.5
20230831,113-50070,139640.49,149625
20230831,113-50080,115554.75,99750
20230831,113-60010,-62974.98,-63000
20230831,113-60020,-47378.87,-47250
20230831,113-60030,-39001.05,-31500
20230831,113-60040,-25980.79,-23625
20230831,113-60050,-20372.22,-19687.5
20230831,113-70010,-17941.87,-16625
20230831,113-70020,-12963.02,-12468.75
20230831,113-70030,-16042.13,-14962.5
20230831,113-70040,-21104.12,-18287.5
20230831,113-70050,-25668.25,-24937.5
20230831,113-70060,-39659.8,-41562.5
20230831,113-70070,-6879.61,-6650
20230831,113-70080,-11232.96,-9975
20230831,113-70090,-8273.42,-7481.25
20230831,113-70100,-6345.88,-6234.38
20230831,113-80010,-12197.2,-13125
20230831,113-80020,-17773.98,-17500
20230831,113-80030,-8017.23,-8750
20230831,113-80040,7136.52,6562.5
20230831,113-80050,4666.9,4375
20230831,113-90010,-38178.57,-35000
20230831,113-90020,-9066.69,-8750
20230831,113-90030,-4154.43,-4375
20230831,114-50010,531069.32,415625
20230831,114-50020,327490.08,332500
20230831,114-50030,285126.62,249375
20230831,114-50040,192943.44,207812.5
20230831,114-50050,233347.83,166250
20230831,114-50060,144188.24,124687.5
20230831,114-50070,159838.96,149625
20230831,114-50080,106099.79,99750
20230831,114-60010,-78297.31,-63000
20230831,114-60020,-59597.32,-47250
20230831,114-60030,-31318.27,-31500
20230831,114-60040,-29183.62,-23625
20230831,114-60050,-19908.06,-19687.5
20230831,114-70010,-16311.55,-16625
20230831,114-70020,-13314.89,-12468.75
20230831,114-70030,-16635.98,-14962.5
20230831,114-70040,-19333.06,-18287.5
20230831,114-70050,-28166.34,-24937.5
20230831,114-70060,-45179.24,-41562.5
20230831,114-70070,-7400.83,-6650
20230831,114-70080,-10549.02,-9975
20230831,114-70090,-8018.77,-7481.25
20230831,114-70100,-6534.83,-6234.38
20230831,114-80010,-11083.37,-13125
20230831,114-80020,-18500.21,-17500
20230831,114-80030,-8577.6,-8750
20230831,114-80040,7000.88,6562.5
20230831,114-80050,4640.03,4375
20230831,114-90010,-37948.05,-35000
20230831,114-90020,-9263.69,-8750
20230831,114-90030,-4822.65,-4375
20230831,115-50010,363195.71,415625
20230831,115-50020,374278.08,332500
20230831,115-50030,256454.22,249375
20230831,115-50040,195241.3,207812.5
20230831,115-50050,161509.03,166250
20230831,115-50060,110934.65,124687.5
20230831,115-50070,177396.86,149625
20230831,115-50080,103398.62,99750
20230831,115-60010,-58764.85,-63000
20230831,115-60020,-58380.27,-47250
20230831,115-60030,-36007.9,-31500
20230831,115-60040,-27919.98,-23625
20230831,115-60050,-23457.17,-19687.5
20230831,115-70010,-17909.24,-16625
20230831,115-70020,-12896.41,-12468.75
20230831,115-70030,-14411.29,-14962.5
20230831,115-70040,-20395.67,-18287.5
20230831,115-70050,-26445.87,-24937.5
20230831,115-70060,-45574.37,-41562.5
20230831,115-70070,-7270.01,-6650
20230831,115-70080,-10471.07,-9975
20230831,115-70090,-8124.65,-7481.25
20230831,115-70100,-6479.6,-6234.38
20230831,115-80010,-10915.16,-13125
20230831,115-80020,-19917.32,-17500
20230831,115-80030,-10659.83,-8750
20230831,115-80040,6772.8,6562.5
20230831,115-80050,5209.8,4375
20230831,115-90010,-36337.74,-35000
20230831,115-90020,-7912.16,-8750
20230831,115-90030,-4194.18,-4375
20230831,116-50010,432921.89,415625
20230831,116-50020,369587.15,332500
20230831,116-50030,254566.97,249375
20230831,116-50040,204058.61,207812.5
20230831,116-50050,174488.92,166250
20230831,116-50060,148589.78,124687.5
20230831,116-50070,167882.77,149625
20230831,116-50080,107334,99750
20230831,116-60010,-74070.31,-63000
20230831,116-60020,-53920.38,-47250
20230831,116-60030,-37914.38,-31500
20230831,116-60040,-27548.21,-23625
20230831,116-60050,-23291.19,-19687.5
20230831,116-70010,-17512.67,-16625
20230831,116-70020,-12583.31,-12468.75
20230831,116-70030,-16105.16,-14962.5
20230831,116-70040,-18604.28,-18287.5
20230831,116-70050,-28268.58,-24937.5
20230831,116-70060,-47155.42,-41562.5
20230831,116-70070,-6392.56,-6650
20230831,116-70080,-10400.82,-9975
20230831,116-70090,-7637.94,-7481.25
20230831,116-70100,-6680.61,-6234.38
20230831,116-80010,-14685.83,-13125
20230831,116-80020,-18631.34,-17500
20230831,116-80030,-8020.96,-8750
20230831,116-80040,7301.3,6562.5
20230831,116-80050,4309.01,4375
20230831,116-90010,-39140.81,-35000
20230831,116-90020,-9630.89,-8750
20230831,116-90030,-4160.17,-4375
20230831,117-50010,416513.41,415625
20230831,117-50020,322929.71,332500
20230831,117-50030,324836.95,249375
20230831,117-50040,240522.58,207812.5
20230831,117-50050,207095.44,166250
20230831,117-50060,157119.31,124687.5
20230831,117-50070,172645.71,149625
20230831,117-50080,83437.3,99750
20230831,117-60010,-57887.52,-63000
20230831,117-60020,-50669.72,-47250
20230831,117-60030,-31605.45,-31500
20230831,117-60040,-27382.79,-23625
20230831,117-60050,-21904.9,-19687.5
20230831,117-70010,-18725.51,-16625
20230831,117-70020,-13434.42,-12468.75
20230831,117-70030,-15990.44,-14962.5
20230831,117-70040,-19744.08,-18287.5
20230831,117-70050,-27679.99,-24937.5
20230831,117-70060,-45226.42,-41562.5
20230831,117-70070,-6561.34,-6650
20230831,117-70080,-11433.86,-9975
20230831,117-70090,-7149.24,-7481.25
20230831,117-70100,-6542.12,-6234.38
20230831,117-80010,-11647.33,-13125
20230831,117-80020,-17356.39,-17500
20230831,117-80030,-9832.32,-8750
20230831,117-80040,6374.63,6562.5
20230831,117-80050,4599.04,4375
20230831,117-90010,-34479.28,-35000
20230831,117-90020,-7626.26,-8750
20230831,117-90030,-4803.8,-4375
20230831,118-50010,449603.72,415625
20230831,118-50020,356505.38,332500
20230831,118-50030,285760.35,249375
20230831,118-50040,223060.75,207812.5
20230831,118-50050,129266.81,166250
20230831,118-50060,92362.78,124687.5
20230831,118-50070,177906.02,149625
20230831,118-50080,104312.65,99750
20230831,118-60010,-70548.88,-63000
20230831,118-60020,-51756.69,-47250
20230831,118-60030,-34545.89,-31500
20230831,118-60040,-27310.02,-23625
20230831,118-60050,-21883.24,-19687.5
20230831,118-70010,-15920.83,-16625
20230831,118-70020,-12785.13,-12468.75
20230831,118-70030,-16350.03,-14962.5
20230831,118-70040,-20050.47,-18287.5
20230831,118-70050,-27495.29,-24937.5
20230831,118-70060,-42294.75,-41562.5
20230831,118-70070,-7150.68,-6650
20230831,118-70080,-10931.71,-9975
20230831,118-70090,-7367.24,-7481.25
20230831,118-70100,-6724.57,-6234.38
20230831,118-80010,-12565.62,-13125
20230831,118-80020,-16236.19,-17500
20230831,118-80030,-7573.98,-8750
20230831,118-80040,7641.9,6562.5
20230831,118-80050,4338.91,4375
20230831,118-90010,-32735.94,-35000
20230831,118-90020,-9398.01,-8750
20230831,118-90030,-4374.43,-4375
20230831,119-50010,436207.61,415625
20230831,119-50020,264211.42,332500
20230831,119-50030,291991.9,249375
20230831,119-50040,212685.32,207812.5
20230831,119-50050,151152.76,166250
20230831,119-50060,130881.95,124687.5
20230831,119-50070,137628.63,149625
20230831,119-50080,94600.86,99750
20230831,119-60010,-72403.61,-63000
20230831,119-60020,-50518,-47250
20230831,119-60030,-32455.03,-31500
20230831,119-60040,-27097.81,-23625
20230831,119-60050,-25340.08,-19687.5
20230831,119-70010,-19884.42,-16625
20230831,119-70020,-13670.4,-12468.75
20230831,119-70030,-16344.54,-14962.5
20230831,119-70040,-18955.46,-18287.5
20230831,119-70050,-26096.36,-24937.5
20230831,119-70060,-46329.94,-41562.5
20230831,119-70070,-7003.73,-6650
20230831,119-70080,-10692.73,-9975
20230831,119-70090,-7838.45,-7481.25
20230831,119-70100,-6382.62,-6234.38
20230831,119-80010,-14088.14,-13125
20230831,119-80020,-19587.82,-17500
20230831,119-80030,-8564.65,-8750
20230831,119-80040,7527.92,6562.5
20230831,119-80050,4736.61,4375
20230831,119-90010,-35850.58,-35000
20230831,119-90020,-9838.77,-8750
20230831,119-90030,-4728.65,-4375
20230831,120-50010,543682.42,415625
20230831,120-50020,303720.05,332500
20230831,120-50030,321589.15,249375
20230831,120-50040,190922.51,207812.5
20230831,120-50050,151221.26,166250
20230831,120-50060,131432.25,124687.5
20230831,120-50070,146417.51,149625
20230831,120-50080,90256.68,99750
20230831,120-60010,-73038.4,-63000
20230831,120-60020,-57518.78,-47250
20230831,120-60030,-38562.33,-31500
20230831,120-60040,-27553.8,-23625
20230831,120-60050,-18993.18,-19687.5
20230831,120-70010,-17280.33,-16625
20230831,120-70020,-13140.77,-12468.75
20230831,120-70030,-15729.87,-14962.5
20230831,120-70040,-18783.53,-18287.5
20230831,120-70050,-25140,-24937.5
20230831,120-70060,-41743.15,-41562.5
20230831,120-70070,-6847.73,-6650
20230831,120-70080,-10093.62,-9975
20230831,120-70090,-8074.64,-7481.25
20230831,120-70100,-7377.62,-6234.38
20230831,120-80010,-13723.57,-13125
20230831,120-80020,-14160.99,-17500
20230831,120-80030,-6811.18,-8750
20230831,120-80040,6893.2,6562.5
20230831,120-80050,4875.12,4375
20230831,120-90010,-32699.07,-35000
20230831,120-90020,-9100.72,-8750
20230831,120-90030,-4245.24,-4375
20230831,121-50010,339555.57,415625
20230831,121-50020,292150.35,332500
20230831,121-50030,205427.99,249375
20230831,121-50040,194549.6,207812.5
20230831,121-50050,177553.29,166250
20230831,121-50060,146304.21,124687.5
20230831,121-50070,157346.18,149625
20230831,121-50080,111433.76,99750
20230831,121-60010,-67414,-63000
20230831,121-60020,-44968.55,-47250
20230831,121-60030,-33943.24,-31500
20230831,121-60040,-24561.12,-23625
20230831,121-60050,-20935.34,-19687.5
20230831,121-70010,-18777.37,-16625
20230831,121-70020,-13054.54,-12468.75
20230831,121-70030,-16905.84,-14962.5
20230831,121-70040,-17681.51,-18287.5
20230831,121-70050,-26727.86,-24937.5
20230831,121-70060,-44900.94,-41562.5
20230831,121-70070,-6377.46,-6650
20230831,121-70080,-11258.47,-9975
20230831,121-70090,-7309.8,-7481.25
20230831,121-70100,-6772.15,-6234.38
20230831,121-80010,-13402.89,-13125
20230831,121-80020,-18153.48,-17500
20230831,121-80030,-8922.21,-8750
20230831,121-80040,7151.78,6562.5
20230831,121-80050,4449.41,4375
20230831,121-90010,-40454.93,-35000
20230831,121-90020,-8440.63,-8750
20230831,121-90030,-4456.45,-4375
20230831,122-50010,335634,415625
20230831,122-50020,428826.34,332500
